ItemID,ItemNo,Status,ReasonCode,status_code_id,status_date,FromLocationCode,FromLocationName,ToLocationCode,ToLocationName,CustAccNum
721,SNSG16636709416,AS,,,2/1/2025 10:14,DBCMD,Clementi Delivery Base,DBCMD,Clementi Delivery Base,
722,SNSG17211188817,AS,,,2/1/2025 12:59,DBBLD,Boon Lay Delivery Base,DBBLD,Boon Lay Delivery Base,
723,SNSG17593578500,CC,,,2/1/2025 14:06,,,,,
724,SNSG18514867903,AS,,,2/1/2025 12:13,DBTED,Telok Blangah Delivery Base,DBTED,Telok Blangah Delivery Base,
725,SNSG18626469916,AS,,,2/1/2025 12:41,DBSWD,Sembawang Delivery Base,DBSWD,Sembawang Delivery Base,
726,SNSG18847294330,AS,,,2/1/2025 12:43,DBTLD,Tanglin Delivery Base,DBTLD,Tanglin Delivery Base,
727,SNSG19272147475,CC,,,2/1/2025 23:25,,,,,
728,SNSG19562419891,AS,,,2/1/2025 12:13,DBTED,Telok Blangah Delivery Base,DBTED,Telok Blangah Delivery Base,
729,SNSG21703652965,AS,,,2/1/2025 12:05,DBCMD,Clementi Delivery Base,DBCMD,Clementi Delivery Base,
730,SNSG22701107867,AS,,,2/1/2025 12:13,DBTED,Telok Blangah Delivery Base,DBTED,Telok Blangah Delivery Base,
731,SNSG22714071253,AS,,,2/1/2025 12:28,DBSWD,Sembawang Delivery Base,DBSWD,Sembawang Delivery Base,
732,SNSG22798778790,AS,,,2/1/2025 12:59,DBBLD,Boon Lay Delivery Base,DBBLD,Boon Lay Delivery Base,
733,SNSG22985822452,AS,,,2/1/2025 12:13,DBTED,Telok Blangah Delivery Base,DBTED,Telok Blangah Delivery Base,
734,SNSG23325286052,AS,,,2/1/2025 10:14,DBCMD,Clementi Delivery Base,DBCMD,Clementi Delivery Base,
735,SNSG23533610980,AS,,,2/1/2025 12:43,DBTLD,Tanglin Delivery Base,DBTLD,Tanglin Delivery Base,
736,SNSG23615340423,AS,,,2/1/2025 12:41,DBSWD,Sembawang Delivery Base,DBSWD,Sembawang Delivery Base,
737,SNSG24008644967,AS,,,2/1/2025 11:53,DBWDD,Woodlands Delivery Base,DBWDD,Woodlands Delivery Base,
738,SNSG24118088908,AS,,,2/1/2025 12:10,DBSWD,Sembawang Delivery Base,DBSWD,Sembawang Delivery Base,
739,SNSG24512852606,AS,,,2/1/2025 12:03,DBTLD,Tanglin Delivery Base,DBTLD,Tanglin Delivery Base,
740,SNSG24689978546,AS,,,2/1/2025 12:05,DBCMD,Clementi Delivery Base,DBCMD,Clementi Delivery Base,
